train_id,ref,tester,summary,create_date,status,priority,severity,resolution,implemented_date,release_fixed,release_found,sw_blocker,targetsw,testcase,triage,owner,assement,reject_cat,farea,Description
0,SWDEV-100066,vmahalak,System goes to not responding state during driver installation,36:00.0,Closed,P1 (Gating),Critical,Fixed,Aug 9 2016 4:20PM,13.35.3.2,16.4,No,172597,3075177,KMD-Triage,IV,CQE Escape,,Sanity,"ASIC            : Carrizo PX ( 9874+ VI Meso ( 6900)) OS               :  Redstone 64 bit OS ( version 14393) Driver          : \\hydincbt03\BUILD\1608082105\image\16.40\16.40_BR305072? Steps to Repro : 1. Boot into the required set-up as mentioned above. 2. Try to install the driver from above path and notice the issue Expected Result : Driver should install without any issue ??Actual Result: During installation of display driver the display goes blank. After hard reboot, system is giving blank screen still and not responding. Regression: ?16.40-160808n-305072E-ATI???? --> Fail 16.40-160807n-305072E-ATI --> Pass No issue observed across Win7 and Winblu OS ?Issue is observed across only on Redstone 64 OS Issue observed with the below configs VI Hawaii (67B9) with Redstone 64 OS Fusion Kaveri (130E) + SI TROPO(682B) with Redstone 64 OS Carrizo (9874) + VI Meso ( 6900) with Redstone 64 OS FIJI Gemini (7300)  with Redstone 64 OS ? Observations: setup Installation???? Display goes blank during mid of installation No display even after hard reboot INF installation Driver installs fine with inf but on reboot the driver is shown with yellow bang and within few seconds the display went blank and system goes to not responding state System Configuration : CPU                : AMD FX-8800P Radeon R7, 12 Compute Cores 4C+8G ? Sys Mem         : 2GB ASIC                : Carrizo PX ( 9874+ VI Meso (6900)) ?Chipset            : gardenia? OS                   :  Redstone-64 (\\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO )"
1,SWDEV-100079,rnayak,IV][Redstone_64]Init error observed during executing PCMARK8( Video group chat) subtest on all ASICs,28:00.0,Closed,P1 (Gating),Critical,Fixed,Aug 11 2016 8:39PM,16.4,16.4,No,172597,155697,OpenGL Triage,IV,CQE Escape,,,"System Configuration for Redstone_64bit ----------------------------------------------------------------- Chipset     : a88xm-e35--ms-7721- CPU         : AMD Phenom(tm) II X6 1100T Processor RAM         : 16 GB GPU         : SI PITCAIRN DID         : 6810 Machine : HY-IN-IVT9-17 Display used: 4K Display OS Image used: Redstone 64 Bit,RS393-Win10RedStone-64 TACC Image (\\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO) Driver: 16.40-160725n-305072E-ATI (\\hydincbt03\build\1608082105\image\16.40\16.40_BR305072) Steps to Reproduce ------------------------ - Set up the system similar to the above configuration - Install the driver 16.40-160808n-305072E-ATI (Full Build) - Install PCMARK8 through TACC(Test set: BV_Inst_PCM8_419) or manual (\\hydingfs\COMMON\3D\Benchmarks\PCMark08\PCMark8-v2.7.613) - Run PCMARK8 thru TACC or Manual (creative 2.0/3.0 - Video group chat2) Expected Result: -----------------  Test should complete without any issues Actual Result: --------------- Init error observed during execution   Regression Details: -------------------  Driver: -------  16.40-160807n-305072E-ATI-PASS 16.40-160808n-305072E-ATI-FAIL ASIC ---- PI FIJI , VI HAWAII, CI SARTUN, CI OLAND, AI BAFFIN, CI BONAIRE, SI CAPE VERDE, FUSION CARRIZO, FUSION STONEY, SI TAHITI,  OS -- Observed in Redstone 64 bit    NOTE --------- Huge score drop observed during executing Gpu caps view, Basemark cl and Compubech cl on all ASICs."
2,SWDEV-100083,vmahalak,Display driver fails to uninstall across Redstone OS,52:00.0,Closed,P1 (Gating),Critical,Fixed,Aug 10 2016 11:09AM,16.4,16.4,No,172597,3075186,Windows Install,IV,CQE Escape,,Sanity,ASIC            : CI Mars ( 6600) OS               :  Redstone 64 bit OS ( version 14393) Driver          : \\hydincbt03\BUILD\1608082105\image\16.40\16.40_BR305072? Steps to Repro : 1. Boot into the required set-up as mentioned above. 2. Install the driver from above path 3. Uninstall the driver and notice the issue Expected Result : Driver should be uninstalled without any issue ??Actual Result: Display driver fails to uninstall Attached the screen shot and the log files for the same Observations: ???The driver fails to uninstalls across all Redstone OS . Warnings are observed during uninstallation and when checked the log file it stated display driver failed to uninstall. No issue observed during inf uninstallation Observing issue only during full build uninstallation Regression: ?16.40-160808n-305072E-ATI???? --> Fail 16.40-160807n-305072E-ATI --> Pass No issue observed across Win7 and Winblu OS Issue is observed across all ASICs on Redstone OS ( both 32 and 64 bit)   System Configuration : CPU                : Intel(R) Core(TM) i7-3960X CPU @ 3.30GHz? Sys Mem         : 16GB ASIC                : CI Mars ( 6600) ?Chipset            : dx79si? OS                   :  Redstone-64 (\\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO )  
3,SWDEV-100092,pbvemula,[Dumps] [AV_VRF_atikmdag!InterruptManager],21:00.0,Closed,P3 (Solution Desired),High,Cannot Reproduce,,,16.5,No,,3075713,Stress,IV,CQE Escape,,Stress,"Description: Issue : AV_VRF_atikmdag!InterruptManager Resolution: Likely ATI Issue OS:Windows Redstone-14385 image Configurations : Host_Name(ASIC) Count HY-IN-IVT8-41 (AI ELLESMERE)(67DF)()(0)(x79s-up5) (Intel(R) Core(TM) i7-3930K CPU @ 3.20GHz 3601 MHz)(8109) 2 HY-IN-IVT8-46 (AI BAFFIN)(67EF)()(AAE0)(p9x79) (Intel(R) Core(TM) i7-3930K CPU @ 3.20GHz 3201 MHz)(8139) 2 R6-IN-PVT2-23 (PI FIJI)(7300)(PI FIJI)(7300)(sabertooth-990fx-r2.0) (UNKNOWN 0 MHz)(8091) 1   Driver Count 16.50-160807n-230356E-ATI 2 16.50-160728n-230356E-ATI 1 16.50-160727n-230356E-ATI 1 16.40-160726a-305203E-ATI 1   Impact : AI ELLESMERE,AI BAFFIN,PI FIJI Observed on : 16.50 Note:Debugging Details are shared in attachment. Dumps: \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-46\F2016-08-08-16#13#02#554_3075713.7z \\hydinlogs01\coredmp$\HY-IN-IVT8\HY-IN-IVT8-41\F2016-08-08-12#17#06#236_3075713.7z  "
4,SWDEV-100094,pbvemula,[Dumps] [0x119_1_DRIVER_REPORTED_INVALID_FENCE_ID_dxgmms2!VidSchiProcessIsrCompletedPacket],33:00.0,Closed,P3 (Solution Desired),Medium,Rejected - Unable to Reproduce,,,16.4,No,,2674703,Stress,IV,CQE Escape,,Stress,"Description: Issue : 0x119_1_DRIVER_REPORTED_INVALID_FENCE_ID_dxgmms2!VidSchiProcessIsrCompletedPacket   Resolution: Likely OS Issue OS:Windows Redstone-14393 image ??Configurations : Host_Name(ASIC) Count HY-IN-IVT1-116 (FUSION CARRIZO)(9874)()(0)(80af) (UNKNOWN 0 MHz)(7629) 2 HY-IN-KMD1-14 (FUSION CARRIZO)(9874)()(0)(myrtle) (AMD Eng Sample: ZD3101AHM44AB_38/31/13/07_9874 3100 MHz)(7651) 1 HY-IN-SRT3-22 (VI HAWAII)(67B0)()(AAC8)(z68x-ud7-b3) (Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz 3701 MHz)(6128) 1 HY-IN-SRT3-63 (PI FIJI)(7300)()(AAF0)(rampage-v-extreme) (Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz 3001 MHz)(16254) 3   Driver Count kmd-1250064 1 16.40-160804a-305568E-ATI 3 16.20-160327n-230356E-ATI 2 16.20-160322a-300774E-ATI 1     Impact : Observed on FUSION CARRIZO,VI HAWAII,PI FIJI asics ?Observed on : 16.40 Note:Debugging Details are shared in attachment.? Dumps: \\hydinlogs01\coredmp$\HY-IN-SRT3\HY-IN-SRT3-63\F2016-08-08-23#49#19#767_2674703.7z \\hydinlogs01\coredmp$\HY-IN-SRT3\HY-IN-SRT3-63\F2016-08-08-17#55#04#829_2674703.7z  "
5,SWDEV-100195,akondapa,"Major Release (1) Centralized Build 1608092105 failed due to ""Error: INF File Syntax Checker test failures?""",36:00.0,Closed,P1 (Gating),Critical,Fixed,Aug 10 2016 4:14AM,16.4,16.4,No,172597,0,DXX (DX10-DX11),IV,CQE Escape,,Sanity,"Major Release (1) Centralized Build 1608092105 failed due to ""Error: INF File Syntax Checker test failures?"" ?logs found at: \\hydincbt03\BUILD\1608092105\raw\log\BldError.html Note : Attached notification mail Regression: 1608092105 - Fail 1608082105 - Pass"
6,SWDEV-100329,vmahalak,Display driver fails to uninstall across APUS over redstone 64OS,32:00.0,Closed,P1 (Gating),Critical,Fixed,Aug 11 2016 9:59AM,16.4,16.4,No,172597,3075186,Windows Install,IV,CQE Escape,,Sanity,"ASIC            : Carrizo PX ( Carrizo (9874) + VI Meso ( 6939)) OS               :  Redstone 64 bit OS ( version 14393) Driver          :  \\hydincbt03\BUILD\1608102105\image\16.40\16.40_BR305072? Steps to Repro : 1. Boot into the required set-up as mentioned above. 2. Install the driver from above path 3. Uninstall the driver and notice the issue Expected Result : Driver should be uninstalled without any issue ??Actual Result: Display driver fails to uninstall Attached the screen shot and the log files for the same Observations: ????The driver fails to uninstall completely and warnings are observed during uninstallation.When checked log files its pointing to display driver uninstall error No issue observed during inf uninstallation Observing issue only during full build uninstallation Observing this issue across all APU's Redstone 64 OS No issue observed across Win7 , Winblu OS and across dgpus over redstone os (both 32 and 64 bit OS) Regression: ??16.40-1608010n-305072E-ATI???? --> Fail???? 16.40-160809n-305072E-ATI???? --> Build failure ?16.40-160808n-305072E-ATI???? --> Fail 16.40-160807n-305072E-ATI --> Pass   System Configuration : CPU                : AMD FX-8800P Radeon R7, 12 Compute Cores 4C+8G ?? Sys Mem         : 2GB ASIC                : Carrizo PX ( 9874+ VI Meso (6900)) ?Chipset            :  gardenia?? OS                   :  Redstone-64 (\\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO )"
7,SWDEV-100334,vmahalak,Few component information missing in software tab of CN across Redstone OS,24:00.0,Closed,P2 (Must Solve),Medium,Fixed,Aug 24 2016 11:53AM,16.4,16.4,No,172597,154118,INF/Build/Packaging,IV,CQE Escape,,Sanity,"ASIC            : AI Baffin ( 67EF) OS               : redstone 64 os ( 14393) Driver          :  \\hydincbt03\BUILD\1608102105\image\16.40\16.40_BR305072? Steps to Repro : 1. Boot into the required setup 2. Install the driver from above path 3. On driver installation reboot the system and launch CN-> software settings to notice the issue   Expected Result : All component information must be listed in software tab of CN ??Actual Result: Few component information is missing in software tab of CN Observations: ??Observing this issue acorss all ASICS including 32bit and 64 bit. Noticed that on : Win10-64 - Provider and 2D driver version information is missing Win10-32 - Provider, 2D and OCL information is missing   Regression: ?????? 16.40-160808n-305072E-ATI  --> Fail 16.40-160807n-305072E-ATI?  --> Pass ? System Configuration : CPU                : Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz? Sys Mem         : 8GB ASIC                : AI Baffin ( 67EF) ?Chipset            :  p8p67? OS                   :  Redstone 64 OS ( \\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO)"
8,SWDEV-100386,vmahalak,Yellow bang observed on reboot after driver installation across Win7-OS,45:00.0,Closed,P1 (Gating),Critical,Done,Aug 15 2016 4:07PM,13.35.2,16.4,No,172597,3075177,INF/Build/Packaging,IV,CQE Escape,,Sanity,ASIC            : VI Tonga ( 6939) OS               :  Win7-32/64 ( OS build# 7601) Driver          :  \\hydincbt03\build\1608112105\image\16.40\16.40_BR305072 Steps to Repro : 1. Boot into the required set-up as mentioned above. 2. Install the driver from above path and reboot the machine to notice the issue Expected Result : No issue must be observed on reboot after driver installation Actual Result: Driver installs fine but on reboot yellow bang is observed in device manager and CN doesnt launch. Issue is observed across all ASICS including DGPUS and APUS on Win7-32 and 64 bit OS. Observations: Issue is observed across all Win7 OS and across all ASICS No issue observed across Winblu and Redstone OS. Attached the screen shot for the same. Regression: 16.40-1608011n-305072E-ATI -->Fail 16.40-1608010n-305072E-ATI -->Pass   System Configuration : CPU                :  AMD FX(tm)-4100 Quad-Core Processor Sys Mem         :  3070 ASIC                : VI Tonga ( 6939 ) Chipset            :  ga-990fxa-ud3 OS                   : Win7-32/64 OS ( \\hydindrvcache01\Images\W732K.GHO or \\hydindrvcache01\Images\W764K.GHO)
9,SWDEV-100427,rnayak,"[IV][Redstone_64]Huge Performance drop observed for Open CL related benchmarks like PCMARK8, Basemark cl, GPUCaps viewer and Compubench.( Open CL Benchmarks are rendering on CPU instead of DGPU by default)",53:00.0,Closed,P2 (Must Solve),Critical,Fixed,Aug 17 2016 8:45AM,16.4,16.4,No,172597,155697,Windows Install,IV,CQE Escape,,,"System Configuration for Redstone_64bit ----------------------------------------------------------------- Chipset     : crosshair-iv-extreme CPU         : AMD Phenom(tm) II X6 1100T Processor RAM         : 16 GB GPU         : SI CAPE VERDE DID         : 6835 Machine : HY-IN-IVT9-16 OS Image used: Redstone 64 Bit,RS393-Win10RedStone-64 TACC Image (\\hydindrvcache01\images$\RS393-EEAP-Win10RedStone-64.GHO) Driver: 16.40-160811n-305072E-ATI (\\hydincbt03\build\1608112105\image\16.40\16.40_BR305072) Steps to Reproduce ------------------------ - Set up the system similar to the above configuration - Install the driver 16.40-160811n-305072E-ATI (Full Build) - Install PCMARK8 through TACC(Test set: BV_Inst_PCM8_419) or manual (\\hydingfs\COMMON\3D\Benchmarks\PCMark08\PCMark8-v2.7.613) - Run PCMARK8 thru TACC or Manual (creative 3.0 - photo editinV2, batch photo editingv2,video editing part1 and 2, video group chat v2 Encoding ) - Run basemark cl manually or thru TACC ( Test set: Run_BasemarkCL_W ) Expected Result: -----------------  Test should complete without any issues Actual Result: --------------- Huge drop observed during execution SCORE -----                                                              8/07             8/11      8/12                                                              ------              ------      ----- Photo editinV2                                       0.29             3.02      0.29 Batch Photo EditiV2n                             19.5            142.5      19.6 Video Editin part 1                                 11.9             40.0       40.9 Video editin Part 2                                  28.4             78.9       78.7 Video group chat V2/Encoding V2           34               409        509   Regression Details: -------------------  Driver: -------  16.40-160807n-305072E-ATI-PASS 16.40-160808n-305072E-ATI-FAIL (Failed with init error SWDEV-100079) 16.40-160811n-305072E-ATI-FAIL 16.40-160812n-305072E-ATI-FAIL Initially suspected to be root caused by same SWDEV-100079, Score drops suspected to be due to init error observed during benchmarking SWDEV-100079 fixed the init error, but we are seeing the score drops and filed this ticket.   ASIC ---- PI FIJI , VI HAWAII, CI SARTUN, CI OLAND, AI BAFFIN, CI BONAIRE, SI CAPE VERDE, FUSION CARRIZO, FUSION STONEY, SI TAHITI,  OS -- Observed in Redstone 64 bit    NOTE --------- Also observed huge score drop on basemark cl, gpucaps view, compubench.   ?Triaging ------------ Couldnt try with triaging on atikmdag.sys after the driver store feature as it is not allowing to swap files easily. The step with Windbg are not fruitful either. Tried with DX and DXCP but the results were same."
